project,app_sloc,test_sloc,compiled_test_size_bytes,dependency_size_compressed_bytes
Bukkit_Bukkit,28916,3639,9740,18728
JCTools_JCTools,23027,6635,8160,58700
JakeWharton_DiskLruCache,780,960,252,21968
JakeWharton_RxRelay,1108,1210,404,29204
JakeWharton_RxReplayingShare,127,359,260,53808
JakeWharton_retrofit1-okhttp3-client,111,217,208,28564
SAP_openui5,8106,0,0,76068
alibaba_TProfiler,2360,49,408,14788
apache_commons-lang,27663,47375,8096,85332
aragozin_jvm-tools,30243,5504,7640,27692
ata4_disunity,4529,204,19600,22176
dieforfree_qart4j,1998,20,324,13864
dubboclub_dubbokeeper,99291,488,46912,55476
eirslett_frontend-maven-plugin,2651,80,492,50172
google_gson,10000,15067,3972,20464
junicorn_java-china,10317,9,7804,24396
junit-team_junit,10701,20074,7540,23736
junit-team_junit4,10701,20074,7536,23736
kevinsawicki_http-request,1391,2721,1900,20152
liyiorg_weixin-popular,24218,381,4108,12432
mabe02_lanterna,21107,7705,4236,33468
mrniko_netty-socketio,5612,396,6376,88200
notnoop_java-apns,2019,3611,5964,44576
pagehelper_Mybatis-PageHelper,2946,5221,4516,17728
pedrovgs_Algorithms,2878,3671,1564,11240
protostuff_protostuff,41724,27611,33684,69020
qiujiayu_AutoLoadCache,4894,1201,5196,42216
sockeqwe_fragmentargs,1932,249,1448,64808
square_javapoet,3360,5325,960,62284
square_moshi,5947,8298,5324,188180
takari_maven-wrapper,1291,414,944,32160
thinkgem_jeesite,313251,86,164652,147956
tomighty_tomighty,4707,845,13772,29304
xtuhcy_gecco,4805,1124,1092,24840
zeroturnaround_zt-zip,4309,2430,3244,25180
